web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667467493-820","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Bachelor of Business(Bba) Business Studies","4 years","Co Op, On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667467493-821","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] International Accounting and Business","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667467493-822","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Bachelor of Science [B.S] Aviation Management with Pilot Studies","4 years","Co Op, On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667467493-823","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Computing","1 year","On Campus","Full Time","null","15 Aug, 2021","INR 16.3 L/Yr"
"1667467493-824","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Master Engineering Qualifier A - Mechanical and Manufacturing Engineering","2 years","On Campus","Full Time","null","15 Aug, 2021","INR 16.3 L/Yr"
"1667467493-825","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Human Resource Management","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.9 L/Yr"
"1667467493-826","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Bachelor of Arts [B.A] Global Business","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667467493-827","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Management - Business","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667467493-828","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Management - Strategy","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667467493-829","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Finance","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667467493-830","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Electronic Commerce","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667467493-831","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Bachelor of Arts [B.A] Communication Studies","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 14.4 L/Yr"
"1667467493-832","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Master of Science [M.S] Bioprocess Engineering","1 year","null","Full Time","null","16 Jul, 2022","INR 14.3 L/Yr"
"1667467493-833","https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#","Bachelor of Arts [B.A] Humanities","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 14.4 L/Yr"
