web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667479827-1071","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Business(Bba) Business Studies","4 years","Co Op, On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1072","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] International Accounting and Business","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667479827-1073","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Science [B.S] Aviation Management with Pilot Studies","4 years","Co Op, On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1074","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Human Resource Management","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.9 L/Yr"
"1667479827-1075","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts [B.A] Global Business","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1076","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Management - Business","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667479827-1077","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Management - Strategy","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667479827-1078","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Finance","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667479827-1079","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Electronic Commerce","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 15.3 L/Yr"
"1667479827-1080","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Master of Science [M.S] Digital Marketing","1 year","On Campus","Full Time","92","16 Jul, 2022","INR 14.1 L/Yr"
"1667479827-1081","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts (B.A) Accounting and Finance","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1082","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor Of Business Administration(B.B.A) Marketing Innovation and Technology","4 years","Co Op, On Campus","Full Time","92","01 Jul, 2022","INR 13.5 L/Yr"
"1667479827-1083","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor Of Business Administration(B.B.A) Business Studies International","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1084","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts [B.A] Global Business (France)","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.5 L/Yr"
"1667479827-1085","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts [B.A] Global Business (Germany)","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1086","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts [B.A] Global Business (Spain)","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
"1667479827-1087","https://collegedunia.com/ireland/college/2792-dublin-city-university-business-school-dublin/programs#","Bachelor of Arts [B.A] Global Business (Canada)","4 years","On Campus","Full Time","92","01 Jul, 2022","INR 13.4 L/Yr"
