web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
1667465646-101,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Mechanical Engineering,1 year,On Campus,Full Time,6.5,31-Jul-21,INR 16.6 L/Yr
1667465646-102,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Finance,1 year,On Campus,Full Time,6.5,31-Jul-21,INR 16.6 L/Yr
1667465646-103,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Financial Risk Management,1 year,On Campus,Full Time,6.5,31-Jul-21,INR 16.6 L/Yr
1667465646-104,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Management,1 year,On Campus,Full Time,6.5,31-Jul-22,INR 16.6 L/Yr
1667465646-105,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Laws [L.L.M],1 year,On Campus,Full Time,6.5,31-May-21,INR 10.4 L/Yr
1667465646-106,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Marketing,1 year,On Campus,Full Time,7,31-Jul-21,INR 16.6 L/Yr
1667465646-107,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Computer Engineering,5 years,On Campus,Full Time,6.5,01-Feb-22,INR 21.9 L/Yr
1667465646-108,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Business Administration [B.B.A] Global Business,4 years,On Campus,Full Time,6.5,31-Jul-21,INR 15.3 L/Yr
1667465646-109,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Computer Science (Mobile and Ubiquitous Computing),1 year,On Campus,Full Time,6.5,31-Jul-21,INR 20 L/Yr
1667465646-110,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Computer Science,4 years,"Honours, On Campus",Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-111,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Computer Science (Interactive Entertainment Technology),1 year,null,Full Time,88,31-Jul-21,INR 20 L/Yr
1667465646-112,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,"Bachelor of Arts [B.A] Civil, Structural, and Environmental Engineering",5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-113,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Integrated Children's and General Nursing,5 years,null,Full Time,6.5,31-Jul-21,INR 18.9 L/Yr
1667465646-114,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Electronic Information Engineering,1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-115,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Neuroscience,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-116,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Acting,3 years,Honours,Full Time,6.5,01-Feb-21,INR 18.8 L/Yr
