web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667466776-599","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Business Management","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-600","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Mathematics","2 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-601","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Immunology and Global Health","1 year","null","Full Time","6.5","31 Jul, 2022","INR 13.8 L/Yr"
"1667466776-602","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Law and Accounting","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-603","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Psychology","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-604","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Computer Science - Software Engineering (CSS)","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-605","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Mathematics with Education","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-606","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Electronic Engineering","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-607","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Engineering [M.Eng] Electronic Engineering - Embedded and Wireless Systems","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-608","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Chemistry ( By Research)","2 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-609","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Computer Science (Applied)","2 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-610","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Business and Accounting","3 years","On Campus","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-611","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Law and Business","3 years","On Campus","Full Time","6.5","01 Jul, 2021","INR 11.1 L/Yr"
"1667466776-612","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Accounting and Finance","4 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-613","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Computer Science and Software Engineering (ARTS) (CSA)","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-614","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Product Design (Marketing & Innovation)","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-615","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Robotics and Intelligent Devices","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-616","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Computer Science","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
