web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667466172-247","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Doctor of Philosophy [Ph.D] Computer Science","4 years","On Campus","Full Time","null","null","INR 17.1 L/Yr"
"1667466172-248","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Computer Science","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-249","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Computer Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-250","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Actuarial & Financial Studies","4 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-251","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Executive Master of Business Administration [E.M.B.A]","2 years","On Campus","Full Time","520","null","INR 14.7 L/Yr"
"1667466172-252","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Business Administration [M.B.A]","1 year","On Campus","Full Time","7","null","INR 33 L/Yr"
"1667466172-253","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Veterinary Medicine","5 years","Honours","Full Time","null","15 Jul, 2023","INR 28.3 L/Yr"
"1667466172-254","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Management","2 years","null","Full Time","null","null","INR 11.4 L/Yr"
"1667466172-255","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Data and Computational Science","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-256","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Supply Chain and Account Management (Retail and Foodservice)","18 months","null","Full Time","null","null","null"
"1667466172-257","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Laws [L.L.B] Law","4 years","Honours","Full Time","null","15 Jul, 2023","INR 3.1 L/Yr"
"1667466172-258","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Geology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-259","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Physics with Astronomy & Space Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-260","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Public Health [M.P.H]","1 year","On Campus","Full Time","null","null","null"
