web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667467191-686","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Science [B.S] Data Science and Analytics","4 years","null","Full Time","null","31 May, 2022","INR 20.3 L/Yr"
"1667467191-687","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Science [M.Sc] Computing Science","1 year","null","Full Time","null","15 Jun, 2022","INR 16.6 L/Yr"
"1667467191-688","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Arts [M.A] Business Economics","1 year","On Campus","Full Time","null","15 Jun, 2021","INR 16.6 L/Yr"
"1667467191-689","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Engineering [M.Eng] Sc Mechanical Engineering","1 year","null","Full Time","null","15 Jun, 2022","INR 20.3 L/Yr"
"1667467191-690","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Laws [L.L.M] LLM (e-LAW)","1 year","null","Full Time","null","15 Jun, 2022","INR 15.7 L/Yr"
"1667467191-691","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Dentistry","5 years","null","Full Time","null","31 May, 2022","INR 41.5 L/Yr"
"1667467191-692","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Geography Arts","3 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-693","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Science [B.S] Sports Studies and Physical Education","4 years","null","Full Time","null","31 May, 2022","null"
"1667467191-694","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master Statistics","1 year","null","Full Time","null","15 Jun, 2022","INR 12 L/Yr"
"1667467191-695","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Science [M.Sc] Analytical Chemistry","1 year","null","Full Time","null","15 Jun, 2022","INR 20.3 L/Yr"
"1667467191-696","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Science [M.Sc] Applied Coastal and Marine Management","1 year","null","Full Time","null","15 Jun, 2022","INR 12 L/Yr"
"1667467191-697","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Science [M.S] Biotechnology","1 year","On Campus","Full Time","null","15 Jun, 2021","INR 20.3 L/Yr"
"1667467191-698","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Master of Science [M.Sc] Applied Science in Food Science","1 year","null","Full Time","null","15 Jun, 2022","INR 20.3 L/Yr"
"1667467191-699","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Law - Clinical","4 years","null","Full Time","null","31 May, 2022","INR 16.5 L/Yr"
"1667467191-700","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Law and French","4 years","null","Full Time","null","31 May, 2022","INR 13.8 L/Yr"
"1667467191-701","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Medical and Health Sciences","4 years","null","Full Time","null","31 May, 2022","null"
"1667467191-702","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Medicine","5 years","null","Full Time","null","31 May, 2022","INR 41.5 L/Yr"
"1667467191-703","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Pharmacy","5 years","null","Full Time","null","31 May, 2022","INR 18.4 L/Yr"
"1667467191-704","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor Social Science","3 years","null","Full Time","null","31 May, 2022","INR 13.9 L/Yr"
"1667467191-705","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Applied Mathematics - Arts","3 years","null","Full Time","null","31 May, 2022","INR 20.3 L/Yr"
"1667467191-706","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Applied Psychology","3 years","null","Full Time","null","31 May, 2022","INR 12 L/Yr"
"1667467191-707","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Archaeology Arts","4 years","Honours","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-708","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Arts","3 years","null","Full Time","null","31 May, 2022","INR 13.1 L/Yr"
"1667467191-709","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Celtic Civilisation Arts","4 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-710","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Criminology","4 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-711","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Digital Humanities and Information Technology","4 years","null","Full Time","null","31 May, 2022","INR 13.8 L/Yr"
"1667467191-712","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Drama and Theatre Studies","3 years","null","Full Time","null","31 May, 2022","INR 13.9 L/Yr"
"1667467191-713","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Economics Arts","3 years","null","Full Time","null","31 May, 2022","INR 14.8 L/Yr"
"1667467191-714","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] English","3 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-715","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Film and Screen Media","3 years","null","Full Time","null","31 May, 2022","INR 13.4 L/Yr"
"1667467191-716","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Folklore Arts","3 years","null","Full Time","null","31 May, 2022","INR 11.5 L/Yr"
"1667467191-717","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Geography and Archaeology","4 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-718","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Greek and Roman Civilisation Arts","3 years","null","Full Time","null","31 May, 2022","INR 11.5 L/Yr"
"1667467191-719","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Greek Arts","3 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-720","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] History Arts","3 years","null","Full Time","null","31 May, 2022","INR 12.4 L/Yr"
"1667467191-721","https://collegedunia.com/ireland/college/725-university-college-cork-cork/programs#","Bachelor of Arts [B.A] Politics - Arts","3 years","null","Full Time","null","31 May, 2022","INR 12 L/Yr"
