web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667467798-899","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering [B.Eng] Biomedical Design","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-900","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Architectural technology","4 years","Honours, On Campus","Full Time","6","01 May, 2021","INR 4.4 L/Yr"
"1667467798-901","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Accounting","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-902","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Master of Science [M.S] Accounting","1 year","On Campus","Full Time","6.5","30 Jun, 2022","INR 8.6 L/Yr"
"1667467798-903","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Business(bbus)","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-904","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Architecture [B.Arch]","5 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-905","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Master of Architecture [M.Arch]","1 year","On Campus","Full Time","6","30 Jun, 2022","INR 9.3 L/Yr"
"1667467798-906","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Auctioneering, Valuation & Estate Agency","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-907","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts [B.A] Advertising and Marketing Communication","4 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-908","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Analytical Chemistry (Environmental, Forensic & Pharmaceutical)","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-909","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Automation Engineering","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-910","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Automative management and technology","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-911","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Aviation technology","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-912","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Baking and pastry arts management","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-913","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Bioanalysis","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-914","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Biomedical & Molecular Diagnostics","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-915","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Biomedical Science","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-916","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] biomolecular science","1 year","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-917","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Biosciences","3 years","null","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-918","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Botanical Cuisine","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-919","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) building engineering","3 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-920","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Master of Science [M.S] Business and Entrepreneurship","1 year","On Campus","Full Time","6.5","30 Jun, 2022","INR 7.5 L/Yr"
"1667467798-921","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Business and law","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-922","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Business and management","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-923","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Chemical Sciences with Medicinal Chemistry","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-924","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Civil Engineering","3 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-925","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Clinical Measurement Science","4 years","Honours","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-926","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering [B.Eng] Computer and Communications Engineering","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-927","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Master of Arts [M.A] Criminology","1 year","On Campus","Full Time","6.0","30 Jun, 2022","INR 7.1 L/Yr"
"1667467798-928","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Design, Technology and Innovation","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-929","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Digital marketing","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-930","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Master of Science [M.S] Digital Marketing","1 year","On Campus","Full Time","6","30 Jun, 2022","INR 8.3 L/Yr"
"1667467798-931","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] DNA and Forensic Analysis","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
