CourseID,Course_name,Score1,Score2
AL031,Computer and Software Engineering,265,330
AL033,Toxicology,260,315
AL035,Construction Technology & Management,310,350
AL050,Business Studies,310,345
AL051,Accountancy,260,345
AL052,Design ( Visual Communications ),610#,750#
AL053,Pharmaceutical Sciences,305,345
AL054,Social Care Practice,340,355
AL110,General Nursing,360,375
AL111,Mature Applicants General Nursing,162#,166#
AL112,Psychiatric Nursing,330,340
AL113,Mature Applicants Psychiatric Nursing,140#,151#
PC410,Humanities,315,335
CW046,Computer Networking,N/A,N/A
CW105,Early Childhood Studies,340,355
CW120,Early Childhood Studies  ( Wexford Campus ),300,325
CW122,B.A. in Accounting,300,345
CR105,Chemical Engineering,300,470
CR106,Computer Applications,250,330
CR107,Electronic Engineering,280,380
CR108,Mechanical Engineering,360,410
CR109,Structural Engineering,440,465
CR111,Computerised Instrument Systems,205,315
CR112,Multimedia,420*,450
CR114,Software Development with French,N/A,N/A
CR115,Software Development with German,N/A,N/A
CR116,Software Dev & Comp Net,270,345
CR121,Music,775**,915
CR150,Business Studies in Information Systems,355,370
CK101,Arts,385,425
CK102,Social Science,390,420
CK103,Music,350#,395#
CK104,Arts/Music,420#,470#
CK105,European Studies,315,435
CK106,Applied Psychology,515*,535
CK111,Early Childhood Studies,355,380
CK112,Drama and Theatre Studies,415#,480#
CK113,Language and Cultural Studies,305,380
CK114,Social Science ( Youth and Community Work ),N/A,N/A
CK115,Social Work,N/A,N/A
CK201,Commerce,450*,480
CK202,Accounting,490*,515
CK203,Business Information Systems,400,425
CK204,Finance,455*,480
CK205,Commerce with French,450,490
CK206,Commerce  with German,310,420
CK207,Commerce  with Italian,405,430
CK208,Commerce  with Spanish,405*,440
CK209,Commerce  with Irish,440,450
CK210,Government and Public Policy,395,430
CK301,Law,515*,540
CK302,Law and French,530,555
CK303,Law and German,490,500
CK304,Law and Irish,510*,515
CK401,Computer Science,300,345
CK402,Biological and Chemical Sciences,400,465
CK404,Environmental and Earth System Sciences,330,380
CK405,Genetics,485,525
CK406,Chemical Sciences,390,450
CK407,Mathematical Sciences,480,540
CK408,Physics and Astrophysics,430,475
CK501,Food Business,335,360
CK504,Nutritional Sciences,445*,475
CK505,Food Science and Technology,300,360
CK601,Process Engineering,495,525
CK602,Civil and Environmental Engineering,510,540
CK603,Electrical and Electronic Engineering,325,470
CK604,Microelectronic Engineering,350,410
CK701,Medicine,575*,590
CK702,Dentistry,555,560
CK703,Pharmacy,560*,575
CK704,Occupational Therapy,505,510
CK705,Speech and Language Therapy,515*,530
CK706,Public Health and Health Promotion,415,470
CK710,General Nursing,400*,440
CK711,Mature Applicants General Nursing,166*#,174#
CK720,Psychiatric Nursing,370*,385
CK721,Mature Applicants Psychiatric Nursing,151#,163#
CK730,Mental Handicap Nursing,340*,350
CK731,Mature Applicants Mental Handicap Nursing,N/A,N/A
AH001,Theology and Philosophy,270#,290#
AH002,Theology and Psychology,310#,350#
AH003,Theology and English Literature,300#,335#
AC120,International Business,230,345
AC141,Behavioral Science ( Psychology ),230,310
CE001,Church of Ireland,375***,N/A
CM001,Marino,450*,465
CM002,Marino/Gael,415,450
DB512,Business Studies,220,325
DB514,Business Studies ( Law ),215,340
DB515,Business Studies ( Human Resource Management ),265,330
DB516,Business Studies ( Financial Services ),190,340
DB521,Accountancy and Finance,250,340
DB531,Marketing,215,315
DB551,Anthropology,275,320
DB552,Arts ( Literature and Drama ),180,315
DB553,Arts ( Film Studies ),205,320
DB561,Arts ( General ),210,320
DB562,Arts ( Psychology ),200,340
DB564,Arts ( Media Studies ),220,340
DC111,Business Studies,440,455
DC112,European Business ( French ),445,450
DC113,European Business ( German ),385,400
DC114,European Business ( Spanish ),340,395
DC115,Accounting & Finance,455,485
DC116,European Bus. (Transatlantic Studies),500,510
DC118,Fiontraðocht le Rðomhaireacht / Gaeilge Fheidhmeac,340,400
DC121,Computer Applications,300,350
DC125,Mathematical Sciences,385,450
DC126,Financial and Actuarial Maths,510*,535
DC131,Communications,455,480
DC132,Journalism,465,500
DC133,Multimedia,420,440
DC146,Int Bus & French/German,395,425
DC147,Int Bus & French/Spanish,420,465
DC148,Int Bus & German/Spanish,420,460
DC149,Int Bus & Japanese,365,420
DC151,Languages for International Communication ( French,310,395
DC152,Languages for International Communication ( German,320,415
DC153,Languages for International Communication ( Spanis,325,365
DC154,Languages for International Communication (Japanes,355,400
DC161,Analytical Science,355,390
DC162,Chemical and Pharmaceutical Sciences,350,390
DC165,Science International,355,390
DC166,Environmental Science and Health,355,390
DC167,Physics with Astronomy,360,400
DC168,Genetics and Cell Biology,425,460
DC171,Applied Physics,345,395
DC181,Biotechnology,350,375
DC191,Electronic Engineering,350,375
DC192,Information and Communications Engineering,N/A,N/A
DC193,Mechatronics,335,405
DC195,Comp-aided Mech/Manuf Engineer,280,445
DC196,Manufact Engineer/Bus Studies,345,425
DC197,Medical Mechanical Engineering,290,415
DC198,Mech and Manufact Engineering,330,380
DC199,Digital Media Engineering,360,395
DC200,Electronics Engineering Common Entry,395,455
DC201,Science Common Entry,355,400
DC202,Sport Science and Health,470,495
DC203,Science Education,400,435
DC211,Music Performance,#,#
DC215,General Nursing,380,410
DC216,Psychiatric Nursing,325,340
DC217,Mental Handicap Nursing,285,310
DC225,Mature Applicants General Nursing,165#,174#
DC226,Mature Applicants Psychiatric Nursing,139*#,151#
DC227,Mature Applicants Mental Handicap Nursing,136#,153#
DC230,Economics Politics and Law,445,465
DC231,International Relations,400,435
DC235,Education and Training,300,350
DN001,Architecture,530*,550
DN002,Medicine,570*,580
DN004,Radiography,480,505
DN005,Veterinary Medicine,560,570
DN006,Physiotherapy,535,540
DN007,Social Science,395,430
DN008,Science,325,410
DN009,Law,510,535
DN010,Agricultural Science,310,370
DN011,Music,300#,350#
DN012,Arts,370,410
DN014,Commerce/Modern Irish,450,465
DN015,Commerce,470,490
DN016,Commerce/German,440,460
DN017,Commerce/French,505,540
DN018,Commerce/Spanish,470,480
DN019,Commerce/Italian,440,460
DN020,Actuarial and Financial Studies,560,580
DN021,Business and Legal Studies,505,520
DN022,Arts / Evening-modular,195,535
DN024,Sports Management,415,440
